Team,HS,AS,HST,AST,HC,AC,HO,AO,HY,AY,HR,AR,WinStreakHome,LossStreakHome,WinStreakAway,LossStreakAway,HomeTeamForm,AwayTeamForm
Salisbury,8.4,6.8,4.4,2.8,6.0,4.8,0.0,0.0,1.8,1.8,0.0,0.4,0.6,2.2,0.6,1.4,5.8,4.2
Partick,6.0,10.6,3.4,6.0,6.0,4.2,0.0,0.0,1.6,0.4,0.6,0.0,1.6,1.4,0.6,0.4,3.6,4.0
Bologna,17.6,9.0,8.0,3.0,6.0,3.8,0.0,0.0,1.8,3.0,0.0,0.0,1.2,0.4,0.4,1.0,2.6,4.2
Augsburg,15.8,14.8,7.4,5.0,5.6,4.8,0.0,0.0,3.4,2.4,0.2,0.0,3.2,0.6,0.2,1.4,4.4,4.0
Hannover,12.2,10.2,3.4,3.8,4.2,2.8,0.0,0.0,1.0,0.8,0.0,0.2,1.2,0.6,0.4,0.6,4.6,6.0
Barcelona,11.0,13.4,3.4,5.4,4.4,6.0,0.0,0.0,3.4,3.4,0.4,0.2,4.8,1.0,1.4,0.0,4.0,5.2
Schalke 04,13.0,12.0,4.0,3.0,4.0,4.0,0.0,0.0,1.4,2.0,0.0,0.0,6.2,0.0,0.2,3.6,2.2,4.6
Hoffenheim,14.8,10.6,5.4,3.2,6.4,4.6,0.0,0.0,1.6,1.0,0.2,0.2,1.4,0.8,0.6,0.8,4.4,4.2
Levante,14.8,13.0,5.0,3.6,5.6,4.8,0.0,0.0,1.2,3.2,0.2,0.0,1.0,0.2,0.0,2.2,6.2,3.4
Malaga,16.8,9.6,6.4,2.2,6.4,4.8,0.0,0.0,1.4,2.8,0.0,0.2,1.2,0.8,0.6,1.2,4.8,5.2
Leverkusen,15.2,10.6,4.2,2.6,8.2,4.2,0.0,0.0,1.0,2.0,0.0,0.0,3.6,0.2,0.2,1.0,3.6,6.0
Mainz,17.0,11.6,7.2,5.6,8.6,3.8,0.0,0.0,2.8,2.0,0.0,0.0,3.0,0.6,0.2,1.8,3.8,5.2
St Etienne,13.8,12.6,6.0,6.0,5.8,7.2,0.0,0.0,1.4,1.8,0.0,0.0,1.6,1.8,1.0,0.6,5.2,5.6
Kilmarnock,14.0,8.8,4.6,4.6,8.2,5.4,0.0,0.0,2.4,2.8,0.0,0.0,0.8,1.2,1.0,0.0,4.4,4.4
Getafe,9.4,11.6,3.4,3.6,4.2,5.4,0.0,0.0,3.4,2.6,0.0,0.2,0.6,1.0,1.4,1.4,4.6,3.8
Bastia,14.8,7.4,4.6,2.8,6.6,2.0,0.0,0.0,1.2,2.4,0.2,0.0,2.2,0.2,0.0,1.8,3.6,4.8
Reims,13.2,9.4,5.0,4.2,6.6,4.4,0.0,0.0,1.4,2.2,0.0,0.2,0.8,0.8,1.4,0.6,6.0,5.8
Evian Thonon Gaillard,11.8,6.8,3.2,2.6,3.4,5.2,0.0,0.0,1.0,1.6,0.0,0.2,3.2,0.2,0.2,1.0,3.6,5.4
Lorient,14.6,10.8,5.4,2.6,5.0,4.6,0.0,0.0,1.2,1.8,0.2,0.2,1.8,0.2,0.2,2.6,4.2,3.2
Cesena,14.4,11.8,5.6,2.6,7.2,5.0,0.0,0.0,1.8,2.0,0.0,0.0,1.8,0.8,0.4,4.6,5.2,2.0
Palermo,15.6,11.6,5.0,3.0,4.6,6.0,0.0,0.0,2.8,2.6,0.0,0.4,4.2,0.2,0.2,2.6,3.8,3.8
Sassuolo,13.0,11.6,5.6,5.0,5.2,5.2,0.0,0.0,3.4,2.6,0.0,0.2,0.8,0.8,0.2,1.4,6.0,4.0
Sevilla,15.0,11.0,6.6,4.0,4.4,6.0,0.0,0.0,3.6,3.0,0.0,0.0,1.4,0.6,0.6,0.8,4.6,5.0
Almeria,16.2,11.2,5.6,3.4,7.2,4.8,0.0,0.0,2.4,2.8,0.2,0.0,0.8,0.6,2.4,0.6,3.6,6.8
Torino,15.6,12.0,4.6,3.6,6.2,4.0,0.0,0.0,1.8,2.2,0.2,0.4,4.0,0.0,0.0,2.6,1.8,3.8
Caen,12.6,8.8,4.6,2.8,7.4,2.8,0.0,0.0,1.6,3.4,0.2,0.2,1.6,0.8,0.6,0.8,4.2,5.8
Pescara,16.4,6.6,5.2,2.2,4.0,3.0,0.0,0.0,1.2,2.6,0.0,0.6,1.4,0.0,0.0,2.2,5.4,4.8
Chelsea,11.8,11.2,4.4,6.0,5.2,4.0,0.0,0.0,1.4,1.4,0.0,0.0,0.4,0.6,1.6,1.0,5.0,5.6
Paris FC,13.2,10.0,6.4,3.8,5.4,4.8,0.0,0.0,1.4,2.8,0.0,0.4,1.4,0.2,0.4,1.4,4.6,5.2
Mouscron,9.6,11.4,4.6,5.2,5.0,4.4,0.0,0.0,1.8,1.8,0.2,0.0,3.4,2.0,0.4,1.6,6.4,4.0
Niort,12.2,13.2,4.8,4.8,4.0,5.6,0.0,0.0,1.8,1.6,0.4,0.0,0.6,0.6,1.0,1.4,6.4,4.2
Le Havre,12.0,12.0,3.8,3.6,5.8,6.2,0.0,0.0,2.6,2.2,0.0,0.2,0.6,1.2,0.8,1.0,4.8,4.4
Huesca,13.8,12.0,5.4,3.4,3.4,5.4,0.0,0.0,1.6,1.6,0.0,0.0,5.2,0.2,0.4,2.0,3.2,4.6
Metz,9.8,10.4,3.4,3.8,4.8,2.2,0.0,0.0,1.8,2.2,0.2,0.4,0.6,1.0,0.4,1.2,5.6,4.6
Rio Ave,11.0,11.8,4.2,4.2,4.8,4.6,0.0,0.0,2.4,3.2,0.2,0.0,1.4,0.4,0.6,3.0,2.6,1.8
Graafschap,16.4,11.8,6.2,4.0,6.4,4.6,0.0,0.0,1.2,2.8,0.0,0.6,0.6,0.6,0.2,1.8,5.2,3.2
Fenerbahce,10.4,12.4,4.0,4.6,4.4,4.8,0.0,0.0,1.4,2.6,0.0,0.2,1.2,0.8,0.4,0.8,4.8,4.8
Chateauroux,11.2,9.8,2.4,4.2,4.6,6.4,0.0,0.0,1.2,1.6,0.0,0.0,0.8,1.2,0.4,1.2,6.4,4.8
Duisburg,15.8,13.8,5.8,5.0,6.2,4.0,0.0,0.0,1.6,3.0,0.0,0.4,0.4,1.4,0.6,0.6,6.8,3.4
Auxerre,14.2,11.6,5.6,5.0,4.8,5.2,0.0,0.0,1.6,2.0,0.0,0.2,2.8,0.2,0.4,1.8,2.6,3.6
Lille,13.6,11.2,4.4,3.0,4.0,3.6,0.0,0.0,2.0,2.2,0.2,0.0,2.4,0.6,2.4,1.0,1.8,6.4
Ingolstadt,14.8,9.2,3.6,3.4,3.4,4.2,0.0,0.0,1.2,0.8,0.0,0.0,1.6,1.2,1.0,1.6,6.2,3.0
Frosinone,17.0,10.4,7.4,3.2,4.4,3.6,0.0,0.0,2.2,2.6,0.0,0.0,0.6,0.6,0.4,3.4,3.0,3.6
Portimonense,13.4,10.6,5.2,4.8,5.4,4.8,0.0,0.0,2.4,3.4,0.0,0.8,3.0,0.2,1.0,4.2,3.8,3.0
Mechelen,11.8,13.4,3.8,5.6,3.4,7.4,0.0,0.0,1.6,2.0,0.0,0.0,3.6,2.0,0.2,2.2,5.4,3.4
Dortmund,9.2,14.0,3.0,5.8,3.4,6.8,0.0,0.0,1.0,0.2,0.0,0.0,0.8,1.6,1.4,0.2,5.4,5.4
Fortuna Dusseldorf,14.6,10.6,6.2,4.8,4.4,3.2,0.0,0.0,2.6,2.8,0.0,0.6,0.6,0.8,1.0,2.4,3.4,4.8
Livorno,11.6,9.6,4.6,3.4,5.8,3.2,0.0,0.0,1.8,3.2,0.0,0.2,1.0,0.6,0.4,1.8,5.0,2.4
Spezia,14.4,8.8,6.2,2.6,5.4,3.0,0.0,0.0,2.8,2.8,0.4,0.2,1.6,1.8,1.2,0.6,5.0,5.4
Trapani,15.0,11.8,5.4,4.4,5.4,4.8,0.0,0.0,1.6,2.2,0.0,0.0,1.0,0.4,0.6,1.2,3.6,5.8
Empoli,14.6,11.6,5.2,3.4,4.2,7.4,0.0,0.0,1.4,2.6,0.0,0.0,2.4,0.6,0.2,8.0,4.0,1.6
Oostende,12.8,10.2,5.4,5.4,8.2,3.2,0.0,0.0,1.4,1.8,0.2,0.0,3.6,0.8,0.8,1.0,5.8,4.0
Setubal,13.8,10.2,5.4,3.8,5.0,5.0,0.0,0.0,2.4,3.8,0.0,0.4,1.2,0.6,0.0,2.8,4.4,3.4
Annan Athletic,9.8,9.0,4.0,4.4,5.8,4.6,0.0,0.0,2.0,2.2,0.0,0.2,2.2,0.4,1.4,1.0,4.2,5.6
Real Madrid,15.0,13.4,7.4,5.2,6.2,4.0,0.0,0.0,0.8,1.8,0.4,0.0,8.4,0.2,0.2,2.2,1.6,3.8
Albion Rvs,10.0,8.0,3.4,2.4,5.2,3.4,0.0,0.0,1.6,2.0,0.2,0.4,1.6,0.6,1.2,1.0,4.4,3.8
Karlsruhe,15.8,13.2,6.0,5.4,6.4,5.8,0.0,0.0,2.8,1.8,0.0,0.2,1.2,0.8,2.2,0.4,3.4,5.2
OFI Crete,9.4,6.2,4.8,3.0,3.4,4.0,0.0,0.0,2.6,3.4,0.2,0.0,1.0,1.0,0.6,0.4,4.8,5.0
Mallorca,12.2,10.2,3.8,3.0,4.6,3.2,0.0,0.0,3.2,4.6,0.2,0.6,0.8,1.0,0.2,4.4,4.2,2.6
Genk,13.2,13.8,5.4,5.8,6.0,3.8,0.0,0.0,2.2,3.2,0.0,0.0,0.4,1.0,1.0,0.8,5.2,6.4
RB Leipzig,9.0,14.8,3.2,5.2,4.8,3.8,0.0,0.0,2.2,3.4,0.0,0.0,2.6,1.0,2.4,1.0,3.0,6.6
Hibernian,13.0,7.4,4.6,3.6,6.6,4.2,0.0,0.0,1.8,2.6,0.0,0.6,1.2,0.6,0.4,1.4,4.4,4.2
Eupen,13.4,9.2,5.2,3.6,4.8,5.0,0.0,0.0,2.0,1.4,0.2,0.0,1.8,0.8,0.8,2.4,5.0,4.2
Volos NFC,14.6,8.4,7.8,3.8,3.6,4.6,0.0,0.0,2.4,2.6,0.4,0.0,7.2,0.4,0.0,1.8,3.0,3.0
Granada,16.2,8.0,4.8,3.4,5.0,4.8,0.0,0.0,2.6,2.8,0.0,0.2,0.6,1.2,1.0,0.2,4.8,5.4
Brechin,12.4,10.6,4.8,4.4,4.8,4.8,0.0,0.0,1.8,2.2,0.0,0.6,1.8,2.8,0.8,2.2,5.6,2.6
Olympiakos,8.2,12.2,5.2,6.4,4.8,5.6,0.0,0.0,2.0,2.6,0.0,0.0,2.0,0.6,1.6,4.4,3.8,6.2
Edinburgh City,12.4,7.8,5.6,3.6,6.6,2.4,0.0,0.0,1.6,2.6,0.0,0.0,1.2,0.2,0.2,1.8,4.6,2.6
Santa Clara,13.0,11.6,3.2,4.2,5.6,6.8,0.0,0.0,2.2,2.2,0.2,0.4,1.2,0.6,0.4,1.2,4.6,2.2
St Pauli,13.6,11.0,4.4,4.0,4.4,3.2,0.0,0.0,2.6,2.2,0.2,0.2,0.2,1.6,2.0,0.4,4.6,5.8
Morton,10.0,12.0,4.0,4.0,6.0,5.6,0.0,0.0,1.4,1.4,0.0,0.2,0.8,1.0,0.6,1.8,5.4,4.0
Airdrie Utd,9.0,9.2,3.6,4.4,5.6,3.4,0.0,0.0,1.0,1.0,0.0,0.2,0.0,1.6,2.4,0.0,3.6,5.4
Paris SG,15.0,12.6,5.6,4.6,4.8,5.0,0.0,0.0,1.2,1.2,0.0,0.0,3.4,0.4,2.0,0.8,2.4,5.4
Amiens,13.8,10.6,3.0,3.2,6.2,3.6,0.0,0.0,1.2,2.0,0.2,0.0,0.4,0.6,0.6,1.4,4.2,3.6
Dijon,13.6,10.0,3.8,3.4,7.6,4.0,0.0,0.0,1.6,2.0,0.4,0.2,0.8,1.6,0.8,3.0,5.2,3.0
Nimes,13.6,8.4,4.8,3.0,6.0,4.0,0.0,0.0,1.8,2.4,0.0,0.2,1.0,0.4,0.2,2.6,5.4,2.8
East Fife,10.6,8.2,5.8,2.8,4.8,4.6,0.0,0.0,1.2,2.4,0.2,0.0,2.8,0.4,0.4,1.8,3.6,3.6
Forfar,8.0,12.0,2.6,5.4,3.8,5.6,0.0,0.0,1.6,1.8,0.0,0.0,0.2,1.0,0.8,0.6,3.8,3.6
Queen of Sth,9.8,8.2,4.0,2.6,5.2,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.2,0.2,2.4,4.8,2.4
Antalyaspor,8.0,10.8,2.2,3.4,3.0,5.8,0.0,0.0,2.0,1.8,0.0,0.0,0.6,1.4,1.6,1.0,4.6,3.4
Montrose,8.4,9.6,4.0,4.0,5.8,4.6,0.0,0.0,1.2,2.2,0.0,0.0,0.2,1.2,1.2,0.4,4.8,4.0
Stranraer,8.6,10.6,3.0,4.4,6.2,5.0,0.0,0.0,1.2,1.8,0.0,0.2,0.6,0.8,0.6,1.4,4.4,3.0
Zwolle,15.0,9.6,6.0,4.0,4.2,3.0,0.0,0.0,2.0,1.8,0.0,0.0,3.2,0.2,0.4,2.8,2.8,3.6
Elche,13.4,7.4,4.2,4.0,4.8,3.6,0.0,0.0,2.8,3.4,0.0,0.2,0.6,1.4,1.0,0.4,5.2,4.4
Feyenoord,16.0,11.4,6.2,4.4,6.4,5.4,0.0,0.0,1.4,1.4,0.0,0.0,3.2,0.2,0.2,2.6,2.4,3.8
Strasbourg,11.0,9.4,3.8,2.4,4.0,3.6,0.0,0.0,1.2,1.6,0.0,0.0,0.8,1.0,0.8,1.0,5.6,3.8
Rizespor,14.8,10.4,4.6,2.8,6.6,3.0,0.0,0.0,2.2,1.8,0.0,0.2,1.2,0.0,0.0,7.2,5.6,2.4
Twente,13.6,7.4,4.8,1.8,5.8,4.0,0.0,0.0,1.0,1.4,0.0,0.0,5.2,0.0,0.0,3.4,1.6,3.0
Ponferradina,13.4,9.4,4.4,3.8,5.2,4.2,0.0,0.0,0.8,2.8,0.0,0.6,1.0,0.6,0.6,1.0,3.4,4.2
Queens Park,7.6,10.4,4.0,4.4,5.2,4.8,0.0,0.0,2.0,1.2,0.0,0.2,1.4,1.0,0.6,1.4,3.8,3.8
Trabzonspor,13.0,15.8,4.6,7.8,3.8,4.6,0.0,0.0,2.2,2.6,0.4,0.0,2.2,0.6,1.2,1.2,1.2,4.2
Extremadura UD,13.6,10.2,4.4,4.2,5.8,4.2,0.0,0.0,2.6,3.2,0.2,0.2,0.2,0.8,0.6,0.8,3.8,3.4
Den Haag,11.6,10.0,4.4,3.2,4.8,4.6,0.0,0.0,2.6,1.8,0.0,0.2,0.8,1.4,1.0,1.2,5.4,3.0
Sp Lisbon,10.6,9.0,4.8,3.8,4.8,5.0,0.0,0.0,2.8,3.4,0.2,0.2,3.4,0.8,1.4,1.2,1.8,6.0
Moreirense,12.6,9.8,5.6,4.6,6.8,4.0,0.0,0.0,1.6,2.6,0.0,0.8,2.4,0.0,0.0,4.2,4.0,2.2
Porto,14.2,10.8,6.6,3.2,5.2,6.2,0.0,0.0,2.8,3.8,0.0,0.4,10.4,0.2,0.0,1.2,1.2,6.6
Sabadell,8.8,14.6,3.2,5.4,3.2,5.4,0.0,0.0,2.6,3.2,0.0,0.2,0.4,1.0,1.0,3.2,3.2,3.0
Leganes,14.4,11.4,5.2,4.6,6.4,4.0,0.0,0.0,2.2,3.0,0.0,0.0,1.8,0.4,1.0,1.2,4.2,5.0
Valenciennes,12.0,13.0,3.8,4.8,5.8,4.4,0.0,0.0,2.2,0.8,0.0,0.2,0.4,0.8,1.0,1.8,5.4,3.0
Raith Rvs,10.4,8.8,5.8,3.0,3.0,5.2,0.0,0.0,1.8,2.2,0.0,0.0,1.4,0.8,0.2,1.0,4.8,4.4
Salford,11.4,12.6,3.8,3.4,3.4,4.0,0.0,0.0,1.8,1.2,0.0,0.0,1.4,0.2,0.6,1.6,3.8,4.0
Harrogate,16.8,8.8,3.8,3.6,6.2,3.4,0.0,0.0,2.2,2.0,0.0,0.2,1.6,0.4,1.6,0.6,3.4,5.4
Pau FC,12.0,10.0,4.6,2.0,5.2,5.0,0.0,0.0,1.6,2.6,0.2,0.4,2.0,0.2,0.2,1.4,4.2,4.4
Dundee,7.2,11.4,2.8,4.4,2.4,8.0,0.0,0.0,1.2,1.4,0.2,0.0,1.0,1.6,1.0,0.4,6.2,5.6
Kasimpasa,16.0,9.2,6.2,4.2,5.4,3.8,0.0,0.0,1.6,2.4,0.0,0.0,1.4,0.8,0.6,1.0,3.4,4.8
Galatasaray,15.6,10.0,6.4,4.2,6.2,3.0,0.0,0.0,2.8,3.6,0.6,0.2,19.6,0.2,0.4,4.8,0.8,3.4
Gaziantep,13.4,9.2,4.8,4.8,5.6,4.4,0.0,0.0,2.6,3.6,0.2,0.4,7.6,0.6,0.0,3.4,3.4,2.8
Maritimo,15.8,12.2,4.6,4.2,5.4,4.0,0.0,0.0,1.4,3.2,0.0,0.2,1.6,0.4,0.4,2.6,3.4,1.6
Montpellier,13.2,13.4,5.6,2.4,3.0,6.4,0.0,0.0,2.4,2.8,0.2,0.4,2.8,0.2,0.6,2.2,2.6,4.2
Waalwijk,15.8,11.0,5.0,3.6,6.4,3.8,0.0,0.0,0.8,1.4,0.0,0.0,2.2,0.6,0.8,2.0,3.6,4.6
Rennes,14.4,10.2,5.4,3.2,5.2,5.2,0.0,0.0,1.2,1.6,0.0,0.0,3.0,1.4,0.4,1.4,3.6,4.2
St Truiden,11.8,11.4,4.2,3.4,5.4,3.2,0.0,0.0,2.0,1.6,0.0,0.0,2.6,0.2,1.0,2.0,3.2,3.8
Le Mans,11.2,10.4,4.4,3.6,3.0,4.0,0.0,0.0,1.8,2.2,0.0,0.0,0.6,0.4,0.8,1.0,6.0,3.8
Marseille,20.6,6.8,5.6,2.6,5.6,2.6,0.0,0.0,1.6,3.0,0.0,0.4,2.0,0.6,0.6,1.0,3.4,4.4
Stafford Rangers,12.2,10.4,5.8,6.4,5.0,6.2,0.0,0.0,1.0,1.6,0.0,0.0,0.6,2.6,0.8,0.6,8.2,5.4
Falkirk,11.8,8.6,5.0,3.4,6.2,4.0,0.0,0.0,0.4,1.6,0.0,0.0,3.2,0.4,1.4,0.8,2.2,5.6
Recreativo,13.4,8.6,4.2,3.2,5.6,4.2,0.0,0.0,3.6,3.2,0.2,0.0,0.2,2.2,0.8,1.6,6.8,2.0
Numancia,10.8,15.6,3.2,4.2,4.2,4.2,0.0,0.0,1.6,1.6,0.0,0.2,0.8,0.4,2.0,1.6,3.2,4.8
Sampdoria,12.0,11.2,3.2,4.0,4.8,4.6,0.0,0.0,1.2,1.8,0.0,0.6,2.6,0.4,0.6,2.2,3.4,3.4
Hamburg,14.8,13.8,6.8,5.4,4.4,5.0,0.0,0.0,2.2,3.0,0.0,0.2,0.6,0.6,1.2,1.8,4.4,4.2
Ein Frankfurt,15.0,9.8,6.2,3.8,8.8,3.8,0.0,0.0,2.4,1.8,0.0,0.2,3.8,0.2,0.2,2.0,3.0,3.4
Bayern Munich,14.6,7.8,7.0,3.4,7.0,1.4,0.0,0.0,1.6,2.2,0.0,0.0,2.8,0.4,1.0,3.2,2.8,5.0
Braunschweig,17.2,15.0,6.6,5.8,5.2,4.8,0.0,0.0,1.0,2.0,0.0,0.2,1.6,0.6,0.2,5.0,4.2,2.6
Nice,15.2,10.0,4.2,3.6,7.2,4.8,0.0,0.0,1.4,2.8,0.2,0.0,0.0,2.4,3.0,0.0,3.6,5.4
Eibar,12.0,11.6,3.8,3.0,5.0,3.6,0.0,0.0,1.8,1.6,0.0,0.0,1.8,0.2,0.2,1.0,4.0,4.8
M'gladbach,12.8,11.8,5.4,4.6,4.4,3.8,0.0,0.0,1.6,2.0,0.0,0.0,2.4,0.8,1.2,1.0,3.4,4.2
Eastleigh,8.8,6.8,4.0,3.4,4.4,5.8,0.0,0.0,2.0,1.4,0.0,0.4,2.2,0.0,0.0,2.8,4.4,4.6
Bromley,11.0,9.2,6.6,3.6,8.6,4.2,0.0,0.0,1.6,1.4,0.0,0.0,1.4,0.4,0.4,1.0,3.6,3.8
Dover Athletic,9.8,10.4,3.4,2.6,5.4,5.8,0.0,0.0,0.8,1.0,0.0,0.0,1.8,0.4,0.2,0.8,4.6,4.8
Las Palmas,14.8,10.0,5.4,4.8,5.8,2.2,0.0,0.0,2.8,2.6,0.2,0.0,2.6,1.6,2.6,0.6,4.0,5.0
Celta,14.2,9.4,3.2,3.0,5.4,4.8,0.0,0.0,2.2,3.0,0.0,0.0,2.0,0.2,0.4,0.6,3.2,3.6
Alaves,7.0,12.4,1.6,3.0,3.8,6.0,0.0,0.0,3.0,2.6,0.4,0.0,0.4,1.2,0.6,1.2,5.6,4.4
Vallecano,11.6,10.2,3.2,2.6,4.4,3.6,0.0,0.0,3.2,3.8,0.2,0.0,1.2,0.8,0.2,0.8,4.0,2.6
Holstein Kiel,15.0,10.0,5.8,3.6,5.0,5.6,0.0,0.0,1.8,2.4,0.0,0.2,1.0,1.2,5.0,0.4,4.6,8.2
Ajaccio GFCO,7.6,6.8,3.8,1.6,3.8,3.2,0.0,0.0,2.6,3.2,0.6,0.2,1.6,0.6,0.8,4.8,6.0,3.4
Aves,15.6,12.8,4.2,4.0,8.2,5.4,0.0,0.0,2.6,2.6,0.2,0.4,0.8,1.2,1.0,0.6,6.0,3.6
Grenoble,11.4,11.4,3.4,4.0,4.6,3.6,0.0,0.0,2.0,1.4,0.2,0.0,1.2,1.4,1.0,0.4,4.0,4.2
Foggia,13.8,12.6,4.8,5.6,4.8,4.6,0.0,0.0,2.4,3.2,0.4,0.0,0.4,0.8,0.6,0.6,5.2,2.8
Standard,15.6,8.0,5.6,3.2,6.6,4.0,0.0,0.0,1.4,3.2,0.0,0.2,4.0,0.2,0.2,1.4,5.4,5.0
Cercle Brugge,14.2,9.8,6.0,2.8,5.4,3.2,0.0,0.0,2.8,2.4,0.0,0.0,2.4,0.2,0.6,3.8,4.0,2.6
Sparta Rotterdam,12.2,12.8,5.6,4.4,5.2,5.8,0.0,0.0,1.2,1.4,0.0,0.0,1.4,0.6,0.8,2.6,3.6,3.0
Ajax,14.8,12.4,5.6,5.8,3.4,3.6,0.0,0.0,2.2,1.2,0.2,0.0,3.8,0.4,0.6,1.8,1.6,5.8
Oviedo,14.8,9.8,5.2,3.8,7.4,4.0,0.0,0.0,1.0,2.6,0.0,0.8,2.0,0.6,0.2,1.6,4.6,3.6
PSV Eindhoven,19.2,11.0,9.8,3.6,5.6,5.6,0.0,0.0,1.2,2.6,0.2,0.0,8.0,0.0,0.0,3.6,0.2,4.6
Charleroi,11.6,7.4,3.8,2.8,6.4,4.4,0.0,0.0,1.4,1.4,0.0,0.0,5.6,0.2,1.2,3.0,1.8,4.0
Guimaraes,11.4,7.4,4.6,3.6,4.8,5.0,0.0,0.0,2.0,2.6,0.0,0.2,9.8,0.0,0.0,3.8,0.6,2.6
Denizlispor,14.0,6.6,4.6,3.0,4.4,3.2,0.0,0.0,1.6,1.6,0.0,0.4,1.0,1.2,0.0,1.8,5.8,3.8
Lecce,15.2,14.2,6.0,5.6,5.0,6.0,0.0,0.0,1.0,2.6,0.0,0.2,1.8,0.2,0.0,2.2,5.0,4.0
Mirandes,11.4,12.2,3.0,2.6,5.2,2.2,0.0,0.0,3.0,1.0,0.0,0.0,0.8,0.6,0.4,0.6,4.8,4.2
Aris,11.4,9.6,5.6,5.0,4.0,6.8,0.0,0.0,2.8,4.0,0.2,0.0,3.4,0.2,0.2,1.2,2.4,4.2
Ath Bilbao,13.0,10.4,4.0,3.8,4.8,3.8,0.0,0.0,3.8,3.8,0.0,0.2,1.4,0.4,0.4,2.0,3.4,4.2
Bielefeld,11.0,12.8,5.0,4.6,4.0,7.2,0.0,0.0,1.4,1.6,0.0,0.0,0.8,1.0,1.6,0.4,4.2,7.2
Xanthi,6.6,8.6,3.4,4.4,2.6,3.2,0.0,0.0,3.0,3.4,0.2,0.2,0.2,1.0,1.2,0.4,4.0,4.2
Ankaragucu,16.2,7.2,7.0,2.0,5.8,4.6,0.0,0.0,2.8,2.8,0.2,0.4,5.8,0.0,0.0,2.2,4.0,4.8
Larisa,10.6,6.0,6.4,2.4,4.6,3.6,0.0,0.0,3.4,3.2,0.4,0.0,8.2,0.0,0.0,2.8,2.2,3.0
Fuenlabrada,12.8,9.4,5.0,3.4,4.4,4.4,0.0,0.0,2.4,2.6,0.4,1.0,1.8,0.6,0.8,0.6,4.2,4.8
Panathinaikos,7.6,10.6,3.0,4.2,3.0,3.8,0.0,0.0,2.4,4.0,0.4,0.0,0.6,1.2,2.0,0.0,4.0,5.8
Panionios,9.6,9.2,4.6,4.2,4.0,6.2,0.0,0.0,2.4,4.2,0.0,0.0,0.8,1.0,0.8,0.8,5.8,3.6
Union Berlin,13.6,13.4,6.6,4.0,6.0,4.8,0.0,0.0,2.2,1.6,0.2,0.0,1.6,0.4,0.2,1.2,5.2,4.2
Oud-Heverlee Leuven,18.4,14.4,6.0,4.0,6.4,3.8,0.0,0.0,2.8,2.6,0.4,0.0,4.0,0.0,0.0,1.4,4.6,5.4
Venezia,15.8,10.6,4.4,4.2,6.6,4.6,0.0,0.0,1.4,2.6,0.0,0.2,0.6,0.6,0.4,4.2,5.0,5.2
Benfica,12.2,9.2,4.8,3.6,5.4,6.2,0.0,0.0,2.2,3.2,0.0,0.2,9.2,0.4,0.2,2.0,0.8,4.4
Brescia,12.8,11.8,4.0,4.8,5.4,3.8,0.0,0.0,2.4,2.6,0.2,0.0,1.0,1.2,1.4,0.8,4.2,4.8
Ternana,11.2,8.8,4.6,3.0,5.4,4.4,0.0,0.0,2.4,1.8,0.0,0.4,0.6,0.6,1.2,2.0,3.8,4.0
Alessandria,11.6,12.2,4.0,4.4,4.0,7.0,0.0,0.0,2.4,3.4,0.2,0.2,2.0,0.0,0.2,2.8,4.2,3.6
Arbroath,8.8,7.0,3.8,1.8,5.2,3.6,0.0,0.0,1.6,1.6,0.0,0.0,1.8,0.2,0.2,3.2,4.2,4.2
Benevento,18.8,9.2,7.4,4.6,7.4,2.2,0.0,0.0,1.2,2.0,0.0,0.2,1.8,0.2,0.2,1.2,4.2,5.0
Bari,10.8,9.8,2.6,3.8,4.8,4.0,0.0,0.0,1.8,3.4,0.2,0.4,3.2,0.2,0.8,0.8,3.4,5.2
Spal,13.4,7.8,5.2,4.0,6.0,4.2,0.0,0.0,3.6,2.8,0.0,0.2,1.2,1.4,0.4,0.8,3.8,3.4
Modena,13.0,10.4,3.8,4.8,5.4,4.0,0.0,0.0,3.2,2.4,0.2,0.0,0.6,0.6,1.4,1.6,2.2,6.0
Perugia,14.2,12.0,4.8,4.8,4.8,3.4,0.0,0.0,2.0,3.2,0.2,0.6,0.4,0.6,1.0,3.6,4.6,3.4
Cittadella,14.0,13.8,5.6,5.6,5.4,5.0,0.0,0.0,1.8,2.6,0.2,0.0,0.6,2.0,1.6,0.6,6.0,5.4
Hertha,13.8,9.2,4.8,3.6,5.4,3.0,0.0,0.0,1.0,2.0,0.0,0.2,3.0,1.0,1.0,8.4,3.8,2.4
Volendam,21.8,11.4,11.4,3.8,6.8,5.0,0.0,0.0,1.2,2.4,0.2,0.2,5.0,0.8,0.0,8.4,2.8,0.8
Westerlo,11.4,15.2,4.6,3.8,4.6,5.0,0.0,0.0,2.0,2.6,0.2,0.2,1.0,1.0,1.2,2.0,4.8,4.4
Freiburg,14.0,8.2,4.4,2.4,3.8,4.8,0.0,0.0,0.8,2.0,0.0,0.2,2.2,0.4,0.6,0.6,3.0,3.6
Chaves,15.2,9.6,4.4,3.8,7.2,4.2,0.0,0.0,1.8,3.4,0.0,0.2,1.8,1.4,1.0,3.2,3.4,2.6
