hist_wins,hist_losses,hist_win_loss_perc,hist_avg_points_for,hist_avg_points_against,hist_avg_yards_for,hist_avg_yards_against,hist_avg_turnovers,team,win_loss_diff,points_for_diff,points_against_diff,yards_for_diff,yards_against_diff,turnovers_diff
5,0,1.0,491.0,389.6,6773.0,5996.4,18.0,San Francisco 49ers,0.5675675675675675,127.59459459459458,9.627027027027054,1190.1081081081084,250.56216216216217,-5.054054054054053
3,2,0.6,364.0,372.6,5490.0,5678.4,17.0,Seattle Seahawks,0.16756756756756758,0.5945945945945823,-7.372972972972946,-92.89189189189165,-67.43783783783783,-6.054054054054053
0,5,0.0,305.0,398.2,4913.0,5944.8,20.0,Tennessee Titans,-0.4324324324324324,-58.40540540540542,18.22702702702702,-669.8918918918916,198.9621621621627,-3.0540540540540526
0,5,0.0,304.0,412.0,5173.0,5859.8,16.0,Pittsburgh Steelers,-0.4324324324324324,-59.40540540540542,32.02702702702703,-409.89189189189165,113.96216216216271,-7.054054054054053
5,0,1.0,433.0,314.8,6024.0,5168.0,28.0,Philadelphia Eagles,0.5675675675675675,69.59459459459458,-65.17297297297296,441.10810810810835,-577.8378378378375,4.945945945945947
3,2,0.6,377.0,353.6,5772.0,5350.0,30.0,Jacksonville Jaguars,0.16756756756756758,13.594594594594582,-26.372972972972946,189.10810810810835,-395.83783783783747,6.945945945945947
1,4,0.2,344.0,400.6,5912.0,5928.2,34.0,Minnesota Vikings,-0.2324324324324324,-19.405405405405418,20.627027027027054,329.10810810810835,182.36216216216235,10.945945945945947
1,4,0.2,330.0,390.4,5509.0,5791.0,18.0,Arizona Cardinals,-0.2324324324324324,-33.40540540540542,10.427027027027009,-73.89189189189165,45.16216216216253,-5.054054054054053
1,4,0.2,321.0,348.4,5683.0,5356.6,28.0,Atlanta Falcons,-0.2324324324324324,-42.40540540540542,-31.57297297297299,100.10810810810835,-389.2378378378371,4.945945945945947
5,0,1.0,396.0,340.0,5725.0,5404.0,22.0,Indianapolis Colts,0.5675675675675675,32.59459459459458,-39.97297297297297,142.10810810810835,-341.83783783783747,-1.0540540540540526
